#   X   	   Y   
#---------	---------
0.066531	0.635747
-0.214821	0.056075
-0.108734	-0.012128
-0.091380	0.002117
-0.088800	0.502426
-0.083848	0.967700
-0.286475	0.045292
-0.273925	0.543554
-0.259511	1.006875
-0.243501	1.437691
-0.226137	1.838270
-0.207639	2.210722
-0.188203	2.557010
0.601930	0.192168
0.570794	0.675706
0.543633	1.125553
0.520079	1.544046
0.499796	1.933363
0.482473	2.295528
-0.532219	0.189017
-0.506663	0.678447
-0.479938	1.133489
-0.452273	1.556544
-0.423877	1.949847
-0.394934	2.315478
-0.365610	2.655369
-0.336052	2.971321
-0.306393	3.265009
-0.276749	3.537990
-0.247221	3.791715
-0.217902	4.027531
0.897222	0.246237
0.851592	0.724514
0.810635	1.169540
0.773951	1.583619
0.741172	1.968896
0.711958	2.327368
0.685997	2.660892
0.663001	2.971200
0.642707	3.259901
0.624871	3.528494
-0.773828	0.261119
-0.169308	-0.093368
-0.163309	0.414015
-0.155074	0.885850
-0.144891	1.324616
-0.133023	1.732617
-0.119709	2.111999
-0.105163	2.464758
-0.089582	2.792751
-0.073139	3.097706
-0.055993	3.381232
-0.038287	3.644826
-0.020149	3.889880
-0.001692	4.117689
0.016981	4.329459
0.035779	4.526312
0.986831	0.306777
0.937024	0.780369
0.892074	1.221058
0.851576	1.631123
0.815153	2.012687
0.782458	2.367723
0.753174	2.698070
0.727006	3.005439
-0.665643	0.256538
-0.633078	0.741909
-0.599714	1.193141
-0.565763	1.612619
-0.531412	2.002565
-0.496828	2.365042
-0.462162	2.701974
0.641881	0.154133
0.608558	0.640134
0.579331	1.092282
0.553825	1.512926
0.531699	1.904252
-0.452241	0.181242
-0.142077	-0.045109
-0.137199	0.458759
-0.130045	0.927332
-0.120906	1.363069
-0.110045	1.768259
-0.097702	2.145031
-0.084091	2.495367
-0.069410	2.821112
-0.053834	3.123981
-0.037522	3.405572
-0.020618	3.667369
-0.003251	3.910756
0.014466	4.137020
0.032427	4.347356
0.050543	4.542879
0.068730	4.724625
0.086917	4.893557
0.105039	5.050574
0.123040	5.196508
-1.124995	0.247547
-1.069508	0.735843
-1.014353	1.189682
0.361511	0.005291
0.069598	0.178053
0.115827	0.138258
-0.113598	0.044063
0.096356	0.103587
0.090057	0.595854
0.086533	1.053694
0.085475	1.479503
0.086599	1.875510
0.089646	2.243791
0.094383	2.586278
0.596480	0.238552
0.565849	0.718871
-0.213970	0.139291
-0.204575	0.630610
-0.193193	1.087490
-0.180096	1.512332
-0.165529	1.907369
-0.149716	2.274681
0.543925	0.187033
0.515664	0.671221
0.491237	1.121657
0.470283	1.540685
0.452472	1.930485
0.437501	2.293089
0.425092	2.630385
0.414989	2.944133
0.406960	3.235969
0.400792	3.507416
0.768452	0.324423
0.729651	0.797871
0.695158	1.238372
-0.313344	0.180760
-0.298773	0.669674
-0.282486	1.124290
-0.324745	0.019774
-0.310409	0.520013
-0.294288	0.985165
-0.276648	1.417674
-0.257727	1.819820
-0.237742	2.193722
-0.216886	2.541350
-0.195335	2.864540
-0.173246	3.164999
-0.150758	3.444315
-0.127999	3.703967
